Group_id,Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
7,1714685965434,-4.00,-2.20,9.50,0.11,-0.11,0.09
7,1714685965467,-3.46,-2.31,9.59,0.11,-0.04,0.07
7,1714685965499,-3.83,-2.35,9.73,0.16,-0.01,0.05
7,1714685965532,-3.59,-2.32,9.58,0.17,-0.03,0.04
7,1714685965564,-3.78,-2.15,9.48,0.13,-0.01,0.01
7,1714685965596,-3.66,-2.20,9.51,0.09,-0.08,0.02
7,1714685965630,-3.69,-2.41,9.78,0.12,-0.07,-0.01
7,1714685965662,-3.73,-2.32,9.66,0.14,-0.00,-0.03
7,1714685965695,-3.81,-2.36,9.51,0.14,-0.01,-0.02
7,1714685965727,-3.79,-2.52,9.57,0.15,-0.04,-0.02
7,1714685965760,-4.00,-2.56,9.61,0.16,0.02,-0.03
7,1714685965792,-4.11,-2.42,9.62,0.18,0.02,-0.01
7,1714685965826,-3.86,-2.40,9.58,0.17,-0.04,0.01
7,1714685965858,-3.59,-2.36,9.37,0.15,-0.02,-0.01
7,1714685965889,-3.67,-2.24,9.51,0.12,0.01,-0.02
